#Likes,under,Post_time,Access_time,Post_link,Img_links,hashtag,Creator_name,Creator_Followers,Creator_link,mentioned_accounts_url
510 likes,#food,5 HOURS AGO,10/11/22 14:43:58,https://www.instagram.com/p/Cjk1X-QKqSW/,['https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/311034024_819048349523151_5544381089989599674_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=pYusquUEZroAX-W9nG0&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0NjcxNDc4OTU2OTE1Njk4NA%3D%3D.2-ccb7-5&oh=00_AT9Kb-AK_8EOuBe7Es3Z9pTevQaU_ldSbx3FWTBnXpG9AA&oe=634CB820&_nc_sid=30a2ef'],"['#stapici', '#stapicisasirom', '#testo', '#pecivo', '#domacepecivo', '#peciva', '#brzirecepti', '#jednostavnirecepti', '#marijinakuhinja', '#hrana', '#recepti', '#domacirecepti', '#domacahrana', '#gastroblog', '#serbianfood', '#balkanfood', '#blogger', '#foodblogger', '#foodphotography', '#foodblogfeed', '#foodblog', '#kuchnia', '#jesen', '#kichen', '#bakery', '#homemade', '#autumn', '#gastro', '#kuvanje', '#food']",balkanska_domacica,49.4K,https://www.instagram.com/balkanska_domacica/,"['https://www.instagram.com/mamita_dane_i_jodze/', 'https://www.instagram.com/ironcuoco/', 'https://www.instagram.com/federica.lacuochinasopraffina/', 'https://www.instagram.com/lideaincucinadilally/', 'https://www.instagram.com/food.cuisine__/', 'https://www.instagram.com/the_foodie_gram._/', 'https://www.instagram.com/FOOD._BRANDS/', 'https://www.instagram.com/THE.FOOD.FACTORY_/', 'https://www.instagram.com/boulangeriepasapas/', 'https://www.instagram.com/pollos_guapos/', 'https://www.instagram.com/heine_herold/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/twospoons.ca/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/vegan.__food/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/karthick_youtuber/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/royal_.food/', 'https://www.instagram.com/food.familye_/', 'https://www.instagram.com/wiesia_gotuje/', 'https://www.instagram.com/serendib.milano/', 'https://www.instagram.com/diariodellafoodlover/', 'https://www.instagram.com/food__.family/', 'https://www.instagram.com/riccardoverdi/']"
357 likes,#food,7 HOURS AGO,10/11/22 14:43:58,https://www.instagram.com/p/CjkjmkOo5eF/,['https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/311123499_1148371682763665_5261656633684191637_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=CTi7cnx6PPoAX_aIHGQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0NjYzNjYyOTc5NTg0NTA0Ng%3D%3D.2-ccb7-5&oh=00_AT-K4CbnxA6GLwm_Y_qSrM3phym7389MgDWjMwuaDmrmJw&oe=634C9E6A&_nc_sid=30a2ef'],"['#primi', '#primipiatti', '#maisenzaprimipiatti', '#lideaincucinaconlally', '#312likesavefede', '#3fedebro', '#pasta', '#pastalover', '#pastagustosa', '#amantideidoilci', '#chef', '#schef', '#cheflife', '#cheflucaravasi', '#cucina', '#cucinamonzese', '#cucinalombarda', '#food', '#instafood', '#fooodpull', '#foodblogger', '#foodporn', '#sugo', '#pomodoro', '#autumn', '#autumnvibes', '#lunch']",lravasi,2792,https://www.instagram.com/lravasi/,"['https://www.instagram.com/mamita_dane_i_jodze/', 'https://www.instagram.com/ironcuoco/', 'https://www.instagram.com/federica.lacuochinasopraffina/', 'https://www.instagram.com/lideaincucinadilally/', 'https://www.instagram.com/food.cuisine__/', 'https://www.instagram.com/the_foodie_gram._/', 'https://www.instagram.com/FOOD._BRANDS/', 'https://www.instagram.com/THE.FOOD.FACTORY_/', 'https://www.instagram.com/boulangeriepasapas/', 'https://www.instagram.com/pollos_guapos/', 'https://www.instagram.com/heine_herold/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/twospoons.ca/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/vegan.__food/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/karthick_youtuber/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/royal_.food/', 'https://www.instagram.com/food.familye_/', 'https://www.instagram.com/wiesia_gotuje/', 'https://www.instagram.com/serendib.milano/', 'https://www.instagram.com/diariodellafoodlover/', 'https://www.instagram.com/food__.family/', 'https://www.instagram.com/riccardoverdi/']"
561 likes,#food,2 HOURS AGO,10/11/22 14:43:58,https://www.instagram.com/p/CjlDuTWoWl0/,['https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/311492943_480959284074033_5740286484533422629_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=zQw2-iPLUYUAX8Xixpj&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0Njc3NzkwNzIwMDA5MjUzMg%3D%3D.2-ccb7-5&oh=00_AT_oIGWOM5y7k-ECCWyu41vaAc1hYDdyrr-9OAf1eYYqhg&oe=634BB6C3&_nc_sid=30a2ef'],"['#food', '#bread', '#Boulangeriepasapas', '#boulangerie', '#foodblogger', '#breadmaking', '#baking', '#bakery', '#painaulevain', '#sourdough', '#yummyfood', '#gourmandise', '#foodlover', '#boulangeriepasàpas', '#brioche']",boulangeriepasapas,98.1K,https://www.instagram.com/boulangeriepasapas/,"['https://www.instagram.com/mamita_dane_i_jodze/', 'https://www.instagram.com/ironcuoco/', 'https://www.instagram.com/federica.lacuochinasopraffina/', 'https://www.instagram.com/lideaincucinadilally/', 'https://www.instagram.com/food.cuisine__/', 'https://www.instagram.com/the_foodie_gram._/', 'https://www.instagram.com/FOOD._BRANDS/', 'https://www.instagram.com/THE.FOOD.FACTORY_/', 'https://www.instagram.com/boulangeriepasapas/', 'https://www.instagram.com/pollos_guapos/', 'https://www.instagram.com/heine_herold/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/twospoons.ca/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/vegan.__food/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/karthick_youtuber/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/royal_.food/', 'https://www.instagram.com/food.familye_/', 'https://www.instagram.com/wiesia_gotuje/', 'https://www.instagram.com/serendib.milano/', 'https://www.instagram.com/diariodellafoodlover/', 'https://www.instagram.com/food__.family/', 'https://www.instagram.com/riccardoverdi/']"
299 likes,#food,1 HOUR AGO,10/11/22 14:43:58,https://www.instagram.com/p/CjlOj2sOR6L/,['https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/311447338_859673408820138_3943997043471056747_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=7YTd2KPgdFoAX8O38tE&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0NjgyNTU2Nzc0MDY5ODI1MQ%3D%3D.2-ccb7-5&oh=00_AT_gIJ_P3jEC7_FtCGFFsNzgktvFsR2RALtxzGfgdP0vPw&oe=634BAD7B&_nc_sid=30a2ef'],"['#polloalabrasa', '#pollosguapos', '#polloalabrasaperuano', '#foodie', '#foodiegram', '#foodies', '#foodielife', '#foodiesofinstagram', '#food', '#foodporn', '#foodblogger', '#instafood', '#perufoodies', '#perufoodie', '#instafoodperu', '#platoperuano', '#comidaperuana']",peru.foodies,36.7K,https://www.instagram.com/peru.foodies/,"['https://www.instagram.com/mamita_dane_i_jodze/', 'https://www.instagram.com/ironcuoco/', 'https://www.instagram.com/federica.lacuochinasopraffina/', 'https://www.instagram.com/lideaincucinadilally/', 'https://www.instagram.com/food.cuisine__/', 'https://www.instagram.com/the_foodie_gram._/', 'https://www.instagram.com/FOOD._BRANDS/', 'https://www.instagram.com/THE.FOOD.FACTORY_/', 'https://www.instagram.com/boulangeriepasapas/', 'https://www.instagram.com/pollos_guapos/', 'https://www.instagram.com/heine_herold/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/twospoons.ca/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/vegan.__food/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/karthick_youtuber/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/royal_.food/', 'https://www.instagram.com/food.familye_/', 'https://www.instagram.com/wiesia_gotuje/', 'https://www.instagram.com/serendib.milano/', 'https://www.instagram.com/diariodellafoodlover/', 'https://www.instagram.com/food__.family/', 'https://www.instagram.com/riccardoverdi/']"
489 likes,#food,1 HOUR AGO,10/11/22 14:43:58,https://www.instagram.com/p/CjlLNLTjX8M/,['https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/311063874_626422059218234_599044004360758179_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=FZPAubiNVgkAX_mM1sJ&tn=h35b4jO1sqrdXU12&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0NjgxMDgxMDgxNzU2MzE0Mw%3D%3D.2-ccb7-5&oh=00_AT-3S7mkgWHNTQGi9GtvqXk2IO3t-2BAOsXr0Vu4dNmJDQ&oe=634C46D7&_nc_sid=30a2ef'],"['#سالاد_مشهدی', '#ترشی_مشهدی', '#ترشی', '#ترشیجات_خانگی', '#ترشی_خونگی', '#ترشیجات', '#آشپزی', '#آشپزی_آسان', '#آموزش_آشپزی', '#pickle', '#food']",ashpazi.khaton,51.3K,https://www.instagram.com/ashpazi.khaton/,"['https://www.instagram.com/mamita_dane_i_jodze/', 'https://www.instagram.com/ironcuoco/', 'https://www.instagram.com/federica.lacuochinasopraffina/', 'https://www.instagram.com/lideaincucinadilally/', 'https://www.instagram.com/food.cuisine__/', 'https://www.instagram.com/the_foodie_gram._/', 'https://www.instagram.com/FOOD._BRANDS/', 'https://www.instagram.com/THE.FOOD.FACTORY_/', 'https://www.instagram.com/boulangeriepasapas/', 'https://www.instagram.com/pollos_guapos/', 'https://www.instagram.com/heine_herold/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/twospoons.ca/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/vegan.__food/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/karthick_youtuber/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/royal_.food/', 'https://www.instagram.com/food.familye_/', 'https://www.instagram.com/wiesia_gotuje/', 'https://www.instagram.com/serendib.milano/', 'https://www.instagram.com/diariodellafoodlover/', 'https://www.instagram.com/food__.family/', 'https://www.instagram.com/riccardoverdi/']"
356 likes,#food,2 HOURS AGO,10/11/22 14:43:58,https://www.instagram.com/p/CjlIfeiJoJc/,['https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/310997583_796754124967968_802128507685902075_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=mZM2LcF5L-AAX8uaLnz&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0Njc5ODg3ODY0NDkyOTExNg%3D%3D.2-ccb7-5&oh=00_AT9BsOHKwkJwAqhyEIiq_Ged0FWC3PRLzDZrZy4gvY6sgQ&oe=634C84DA&_nc_sid=30a2ef'],[],vegans_power,66.5K,https://www.instagram.com/vegans_power/,"['https://www.instagram.com/mamita_dane_i_jodze/', 'https://www.instagram.com/ironcuoco/', 'https://www.instagram.com/federica.lacuochinasopraffina/', 'https://www.instagram.com/lideaincucinadilally/', 'https://www.instagram.com/food.cuisine__/', 'https://www.instagram.com/the_foodie_gram._/', 'https://www.instagram.com/FOOD._BRANDS/', 'https://www.instagram.com/THE.FOOD.FACTORY_/', 'https://www.instagram.com/boulangeriepasapas/', 'https://www.instagram.com/pollos_guapos/', 'https://www.instagram.com/heine_herold/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/twospoons.ca/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/vegan.__food/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/karthick_youtuber/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/royal_.food/', 'https://www.instagram.com/food.familye_/', 'https://www.instagram.com/wiesia_gotuje/', 'https://www.instagram.com/serendib.milano/', 'https://www.instagram.com/diariodellafoodlover/', 'https://www.instagram.com/food__.family/', 'https://www.instagram.com/riccardoverdi/']"
370 likes,#food,3 HOURS AGO,10/11/22 14:43:58,https://www.instagram.com/p/Cjk-EZdvzy_/,['https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/311163970_5075387392561239_8075187924938973074_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=9FIICmCiBAcAX8zsPUd&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0Njc1MzAzMjU0NjU0NjY4MA%3D%3D.2-ccb7-5&oh=00_AT_0p7N-2qhLjaB-wJVpJWdKhyxeESPNmB6UVrhNRgovgQ&oe=634BFA57&_nc_sid=30a2ef'],"['#karidosai', '#parotta', '#briyanilover', '#Madurai', '#maduraifood', '#maduraikaran', '#maduraifoodie', '#muttonbriyani', '#foodreelsinindia', '#foodreel', '#foodreelsindia', '#reelsfoodie', '#indianfood', '#indianfoodbloggers', '#walkwithindia', '#food', '#reelskarofeelkaro', '#reelskarofeelkaro❣️', '#trendingreels', '#viralreels', '#briyaniforlife', '#foodvideo', '#foodmaking', '#foodporn', '#foodheaven']",karthick_youtuber,15.7K,https://www.instagram.com/karthick_youtuber/,"['https://www.instagram.com/mamita_dane_i_jodze/', 'https://www.instagram.com/ironcuoco/', 'https://www.instagram.com/federica.lacuochinasopraffina/', 'https://www.instagram.com/lideaincucinadilally/', 'https://www.instagram.com/food.cuisine__/', 'https://www.instagram.com/the_foodie_gram._/', 'https://www.instagram.com/FOOD._BRANDS/', 'https://www.instagram.com/THE.FOOD.FACTORY_/', 'https://www.instagram.com/boulangeriepasapas/', 'https://www.instagram.com/pollos_guapos/', 'https://www.instagram.com/heine_herold/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/twospoons.ca/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/vegan.__food/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/karthick_youtuber/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/royal_.food/', 'https://www.instagram.com/food.familye_/', 'https://www.instagram.com/wiesia_gotuje/', 'https://www.instagram.com/serendib.milano/', 'https://www.instagram.com/diariodellafoodlover/', 'https://www.instagram.com/food__.family/', 'https://www.instagram.com/riccardoverdi/']"
589 likes,#food,7 HOURS AGO,10/11/22 14:43:58,https://www.instagram.com/p/Cjkhv5uMlxD/,['https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/311587927_793403768548498_792612808029389322_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=EoYZ0nnEgWcAX_nocyV&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0NjYyODQ4MzUzNTc1NjM1NQ%3D%3D.2-ccb7-5&oh=00_AT-YnwJn8YpnNwDh3fz5NZn9sjx-u47iqvOkMgED7VC1pg&oe=634C34A1&_nc_sid=30a2ef'],"['#zapieksy', '#zapiekanka', '#pieczarki', '#kurczak', '#pysznie', '#przepysznie', '#poprostupycha', '#yummy', '#yummyfoods', '#deliciousfood', '#delicious', '#food', '#heatlyfood', '#healthy', '#blogger', '#fhotography', '#fotografia', '#jemzdrowoikolorowo💪👑🎀🍅🍌🍉🍐🍏', '#czystamicha', '#wiemcojem', '#lubięjeść', '#przepis', '#szybkiobiad', '#wtorek', '#instafood', '#mojeprzepisy', '#mojegotowanie', '#przekąski', '#miłydzień', '#jedzonko']",kuchnia_agnieszki_,48.3K,https://www.instagram.com/kuchnia_agnieszki_/,"['https://www.instagram.com/mamita_dane_i_jodze/', 'https://www.instagram.com/ironcuoco/', 'https://www.instagram.com/federica.lacuochinasopraffina/', 'https://www.instagram.com/lideaincucinadilally/', 'https://www.instagram.com/food.cuisine__/', 'https://www.instagram.com/the_foodie_gram._/', 'https://www.instagram.com/FOOD._BRANDS/', 'https://www.instagram.com/THE.FOOD.FACTORY_/', 'https://www.instagram.com/boulangeriepasapas/', 'https://www.instagram.com/pollos_guapos/', 'https://www.instagram.com/heine_herold/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/twospoons.ca/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/vegan.__food/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/karthick_youtuber/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/royal_.food/', 'https://www.instagram.com/food.familye_/', 'https://www.instagram.com/wiesia_gotuje/', 'https://www.instagram.com/serendib.milano/', 'https://www.instagram.com/diariodellafoodlover/', 'https://www.instagram.com/food__.family/', 'https://www.instagram.com/riccardoverdi/']"
400 likes,#food,1 HOUR AGO,10/11/22 14:43:58,https://www.instagram.com/p/CjlMyvEo91B/,['https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/311134554_1052072102081801_667420306596183061_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=2dqBAw0_r28AX-AriBi&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0NjgxNzc4Mjk4NTAxNzUyNA%3D%3D.2-ccb7-5&oh=00_AT_9SRznjmhqWMbk3egO18D5LOPIKnNs9QWrTIrjLwOjlw&oe=634CC976&_nc_sid=30a2ef'],"['#cucinaindiana', '#cucinadellosrilanka', '#serendib', '#degustazione', '#milanofoodporn', '#food', '#diariodellafoodlover']",diariodellafoodlover,35.9K,https://www.instagram.com/diariodellafoodlover/,"['https://www.instagram.com/mamita_dane_i_jodze/', 'https://www.instagram.com/ironcuoco/', 'https://www.instagram.com/federica.lacuochinasopraffina/', 'https://www.instagram.com/lideaincucinadilally/', 'https://www.instagram.com/food.cuisine__/', 'https://www.instagram.com/the_foodie_gram._/', 'https://www.instagram.com/FOOD._BRANDS/', 'https://www.instagram.com/THE.FOOD.FACTORY_/', 'https://www.instagram.com/boulangeriepasapas/', 'https://www.instagram.com/pollos_guapos/', 'https://www.instagram.com/heine_herold/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food._brand/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/vanillaa_cooking/', 'https://www.instagram.com/ghaza.irani/', 'https://www.instagram.com/ashpazi.khaton/', 'https://www.instagram.com/twospoons.ca/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/dr.ighalo_herbs/', 'https://www.instagram.com/vegan.__food/', 'https://www.instagram.com/food.hub.ig/', 'https://www.instagram.com/karthick_youtuber/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/royal_.food/', 'https://www.instagram.com/food.familye_/', 'https://www.instagram.com/wiesia_gotuje/', 'https://www.instagram.com/serendib.milano/', 'https://www.instagram.com/diariodellafoodlover/', 'https://www.instagram.com/food__.family/', 'https://www.instagram.com/riccardoverdi/']"
283 likes,#foodie,1 DAY AGO,10/11/22 14:45:17,https://www.instagram.com/p/CjiqA2WDJDs/,['https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/310981332_1540044753092954_2459145299858727730_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=Ed-K4dFb6hsAX9FhKkp&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0NjEwMTg3ODE4ODg3MDkyOA%3D%3D.2-ccb7-5&oh=00_AT-TEMs7fKfcQG_nVV1XQNEdA_mW2dTZX0S0V0FWVTfC-Q&oe=634BEFEA&_nc_sid=30a2ef'],[],thebrunchdestroyers,10.1K,https://www.instagram.com/thebrunchdestroyers/,"['https://www.instagram.com/goldnottinghill/', 'https://www.instagram.com/nuriovika/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/tescofood/', 'https://www.instagram.com/wickedkitchenfood/', 'https://www.instagram.com/nomochocolate/', 'https://www.instagram.com/buttermilk_choccy/', 'https://www.instagram.com/loveoggs/', 'https://www.instagram.com/wickedkitchenfood/', 'https://www.instagram.com/tabua.de.frios.gourmet/', 'https://www.instagram.com/casatargine/']"
376 likes,#foodie,4 HOURS AGO,10/11/22 14:45:17,https://www.instagram.com/p/Cjk3SsksMNN/,['https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/311095341_1144225899543603_3475650179123375075_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=LKMxXXjg2-4AX_1MrIP&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0NjcyMzIyODQ3NTk0MDIyMw%3D%3D.2-ccb7-5&oh=00_AT-157zaVjxQhOM_Wkp0mQWg2CKjTSH1MQENNeqBZOB2QA&oe=634BCA8E&_nc_sid=30a2ef'],"['#rosquillas', '#rosquillascaseras', '#recetas', '#recipes', '#hojaldre', '#puffpastry', '#deliciousfood', '#food', '#foodie', '#foodlover', '#foodphotography', '#foodphoto', '#photofood', '#fotosdecomida', '#instafood', '#yummy']",erikabocatus,41.3K,https://www.instagram.com/erikabocatus/,"['https://www.instagram.com/goldnottinghill/', 'https://www.instagram.com/nuriovika/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/tescofood/', 'https://www.instagram.com/wickedkitchenfood/', 'https://www.instagram.com/nomochocolate/', 'https://www.instagram.com/buttermilk_choccy/', 'https://www.instagram.com/loveoggs/', 'https://www.instagram.com/wickedkitchenfood/', 'https://www.instagram.com/tabua.de.frios.gourmet/', 'https://www.instagram.com/casatargine/']"
354 likes,#foodie,18 MINUTES AGO,10/11/22 14:45:17,https://www.instagram.com/p/CjlVvp-vCf6/,['https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/311148954_195626532825891_8586858401229925111_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=WzCwgE2R61IAX_dYsBZ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk0Njg1NzE2NTA1MTkzMDYxOA%3D%3D.2-ccb7-5&oh=00_AT9G7765atMqSJpH546dE3XwH4YR09y2XPVw4we4VSfgZw&oe=634D483E&_nc_sid=30a2ef'],[],jojo.pdx,35.1K,https://www.instagram.com/jojo.pdx/,"['https://www.instagram.com/goldnottinghill/', 'https://www.instagram.com/nuriovika/', 'https://www.instagram.com/Alenacryptoart/', 'https://www.instagram.com/tescofood/', 'https://www.instagram.com/wickedkitchenfood/', 'https://www.instagram.com/nomochocolate/', 'https://www.instagram.com/buttermilk_choccy/', 'https://www.instagram.com/loveoggs/', 'https://www.instagram.com/wickedkitchenfood/', 'https://www.instagram.com/tabua.de.frios.gourmet/', 'https://www.instagram.com/casatargine/']"
